City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Delhi NCR,GO,COMPLETED,2018-05-04 14:13:08 +0000 UTC,2018-05-04 14:32:59 +0000 UTC,28.5396658,77.2939306,"Pocket 1, Jasola, Plot No:40, Pocket 1, Jasola Vihar, New Delhi, Delhi 110025, India",2018-05-04 15:16:54 +0000 UTC,28.6337604,77.2204698,"23, First Floor, Odeon Building, Radial Road 5, D Block, Connaught Place, D Block, Connaught Place, New Delhi, Delhi 110001, India",9.59,259.49,INR
Delhi NCR,GO,COMPLETED,2018-05-03 05:47:54 +0000 UTC,2018-05-03 05:55:47 +0000 UTC,28.5396855,77.2941305,"Pocket 1 Street, Pocket 1, Jasola, New Delhi, Delhi 110025, India",2018-05-03 06:34:26 +0000 UTC,28.6226008,77.212203,"Sansad Marg, Sansad Marg Area, New Delhi, Delhi 110001, India",8.95,233.48,INR
Delhi NCR,GO,COMPLETED,2018-04-30 08:56:18 +0000 UTC,2018-04-30 09:05:01 +0000 UTC,28.5398045,77.2942489,"Pocket 1, Jasola, Plot No:40, Pocket 1, Jasola Vihar, New Delhi, Delhi 110025, India",2018-04-30 09:26:37 +0000 UTC,28.5466524,77.2354066,"Block S, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",5.66,150.82,INR
Delhi NCR,POOL,CANCELED,2018-04-30 08:53:04 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,28.5272011,77.2783883,,1970-01-01 00:00:00 +0000 UTC,28.52712,77.2785833,"Block S, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",0.00,0,INR
Delhi NCR,GO,COMPLETED,2018-04-28 07:47:31 +0000 UTC,2018-04-28 08:02:21 +0000 UTC,28.5327753,77.2020192,"67, Navjeevan Vihar, Malviya Nagar, New Delhi, Delhi 110017, India",2018-04-28 08:38:33 +0000 UTC,28.5400989,77.2938624,"Plot No.6, FC-33, Jasola, Jasola, New Delhi, Delhi 110025, India",10.70,355.56,INR
Delhi NCR,GO,COMPLETED,2018-04-28 04:29:58 +0000 UTC,2018-04-28 04:36:44 +0000 UTC,28.5400095,77.2939615,"Pocket 1 Street, Pocket 1, Jasola, New Delhi, Delhi 110025, India",2018-04-28 05:06:20 +0000 UTC,28.5337921,77.2004373,"Navjeevan Vihar, Adchini, New Delhi, Delhi 110017, India",8.93,197.84,INR
Delhi NCR,GO,COMPLETED,2018-04-26 10:13:04 +0000 UTC,2018-04-26 10:22:48 +0000 UTC,28.6224412,77.2120283,"6, Sansad Marg, Pandit Pant Marg Area, Sansad Marg Area, New Delhi, Delhi 110001, India",2018-04-26 11:08:38 +0000 UTC,28.5399872,77.2940006,"Plot No.6, FC-33, Jasola, Jasola, New Delhi, Delhi 110025, India",8.84,240.08,INR
Delhi NCR,GO,COMPLETED,2018-04-26 04:57:57 +0000 UTC,2018-04-26 05:05:50 +0000 UTC,28.5398128,77.2943776,"Pocket 1, Jasola, Plot No:40, Pocket 1, Jasola Vihar, New Delhi, Delhi 110025, India",2018-04-26 05:46:14 +0000 UTC,28.6224056,77.2121068,"Sansad Marg, Sansad Marg Area, New Delhi, Delhi 110001, India",8.99,243.86,INR
Delhi NCR,GO,COMPLETED,2018-04-24 13:16:42 +0000 UTC,2018-04-24 13:35:57 +0000 UTC,28.5468118,77.2354407,"S480, Block S, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048, India",2018-04-24 13:59:16 +0000 UTC,28.5399296,77.2939492,"Plot No.6, FC-33, Jasola, Jasola, New Delhi, Delhi 110025, India",5.10,169.51,INR
Delhi NCR,GO,COMPLETED,2018-04-24 05:00:36 +0000 UTC,2018-04-24 05:07:18 +0000 UTC,28.5397635,77.2941345,"Pocket 1, Jasola, Plot No:40, Pocket 1, Jasola Vihar, New Delhi, Delhi 110025, India",2018-04-24 05:46:16 +0000 UTC,28.6224323,77.2120902,"Sansad Marg, Sansad Marg Area, New Delhi, Delhi 110001, India",8.96,255.57,INR
Delhi NCR,GO,CANCELED,2018-04-20 18:07:39 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,28.5431187,77.2131216,,1970-01-01 00:00:00 +0000 UTC,28.5430969,77.2131143,"Plot No.6, FC-33, Jasola, Jasola, New Delhi, Delhi 110025, India",0.00,0,INR
Delhi NCR,GO,COMPLETED,2018-04-20 12:58:55 +0000 UTC,2018-04-20 13:42:10 +0000 UTC,28.5336288,77.2001804,"67, Navjeevan Vihar, Malviya Nagar, New Delhi, Delhi 110017, India",2018-04-20 15:06:10 +0000 UTC,28.5327768,77.3768437,"Plot No 1, Sector 104, Noida, Uttar Pradesh 201304, India",15.44,686.13,INR
Delhi NCR,GO,COMPLETED,2018-04-20 09:34:53 +0000 UTC,2018-04-20 09:45:44 +0000 UTC,28.6229146,77.2122951,"#, 5, Sansad Marg, Pandit Pant Marg Area, Sansad Marg Area, New Delhi, Delhi 110001, India",2018-04-20 10:16:53 +0000 UTC,28.5332229,77.2001699,"Navjeevan Vihar, Adchini, New Delhi, Delhi 110017, India",7.87,178.48,INR
Delhi NCR,GO,COMPLETED,2018-04-20 05:29:54 +0000 UTC,2018-04-20 05:40:44 +0000 UTC,28.5398617,77.2938969,"Pocket 1, Jasola, Plot No:40, Pocket 1, Jasola Vihar, New Delhi, Delhi 110025, India",2018-04-20 06:20:55 +0000 UTC,28.6224311,77.2121025,"Sansad Marg, Sansad Marg Area, New Delhi, Delhi 110001, India",8.94,241.05,INR
Delhi NCR,GO,COMPLETED,2018-04-20 03:47:14 +0000 UTC,2018-04-20 03:53:49 +0000 UTC,28.5481238,77.2493978,"Chirag Enclave, Chirag Enclave Rd, Chirag Enclave, Greater Kailash, New Delhi, Delhi 110048, India",2018-04-20 04:10:07 +0000 UTC,28.5402195,77.2938629,"Plot 47, Pocket - 1, Jasola, New Delhi, Delhi 110025, India",4.11,99,INR
Delhi NCR,GO,CANCELED,2018-04-19 14:23:37 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,28.5428214,77.2984587,,1970-01-01 00:00:00 +0000 UTC,28.5420664,77.2989177,"81 Hemkunt Colony, Greater Kailash I, Greater Kailash, Hemkunt Colony, Greater Kailash, New Delhi, Delhi 110048, India",0.00,0,INR
Delhi NCR,GO,COMPLETED,2018-04-19 10:28:35 +0000 UTC,2018-04-19 10:36:33 +0000 UTC,28.6225758,77.2121155,"6, Sansad Marg, Pandit Pant Marg Area, Sansad Marg Area, New Delhi, Delhi 110001, India",2018-04-19 11:10:25 +0000 UTC,28.5399999,77.2939738,"Plot No.6, FC-33, Jasola, Jasola, New Delhi, Delhi 110025, India",9.19,207.38,INR
Delhi NCR,GO,COMPLETED,2018-04-19 06:02:38 +0000 UTC,2018-04-19 06:09:23 +0000 UTC,28.5398433,77.2938283,"Pocket 1, Jasola, Plot No:40, Pocket 1, Jasola Vihar, New Delhi, Delhi 110025, India",2018-04-19 06:56:21 +0000 UTC,28.6225947,77.2122072,"Sansad Marg, Sansad Marg Area, New Delhi, Delhi 110001, India",8.95,227.79,INR
